Team,Event_Id,Event_Time,Sport
Baltimore Orioles,9715974,2017-05-29 17:05:00+00:00,mlb
Baltimore Orioles,9715901,2017-08-21 23:05:00+00:00,mlb
Baltimore Orioles,9715909,2017-05-19 23:05:00+00:00,mlb
Baltimore Orioles,9715912,2017-08-31 23:05:00+00:00,mlb
Baltimore Orioles,9715934,2017-07-19 23:05:00+00:00,mlb
Baltimore Orioles,9715970,2017-04-07 23:05:00+00:00,mlb
Baltimore Orioles,9715978,2017-09-05 23:05:00+00:00,mlb
Baltimore Orioles,9715899,2017-07-22 23:05:00+00:00,mlb
Baltimore Orioles,9715910,2017-05-20 20:05:00+00:00,mlb
Baltimore Orioles,9715918,2017-07-14 23:05:00+00:00,mlb
Baltimore Orioles,9715929,2017-05-09 23:05:00+00:00,mlb
Baltimore Orioles,9715932,2017-07-17 23:05:00+00:00,mlb
Baltimore Orioles,9715954,2017-09-19 23:05:00+00:00,mlb
Baltimore Orioles,9715965,2017-05-23 23:05:00+00:00,mlb
Baltimore Orioles,9715976,2017-05-31 23:05:00+00:00,mlb
Baltimore Orioles,9715900,2017-07-23 17:35:00+00:00,mlb
Baltimore Orioles,9715911,2017-05-21 17:35:00+00:00,mlb
Baltimore Orioles,9715919,2017-07-15 23:05:00+00:00,mlb
Baltimore Orioles,9715955,2017-09-20 23:05:00+00:00,mlb
Baltimore Orioles,9715966,2017-05-24 16:35:00+00:00,mlb
Baltimore Orioles,9715927,2017-08-29 23:05:00+00:00,mlb
Baltimore Orioles,9715930,2017-06-06 23:05:00+00:00,mlb
Baltimore Orioles,9715952,2017-06-04 17:35:00+00:00,mlb
Baltimore Orioles,9715898,2017-07-21 23:05:00+00:00,mlb
Baltimore Orioles,9715906,2017-04-05 23:05:00+00:00,mlb
Baltimore Orioles,9715920,2017-07-16 17:35:00+00:00,mlb
Baltimore Orioles,9715928,2017-05-08 23:05:00+00:00,mlb
Baltimore Orioles,9715931,2017-06-07 23:05:00+00:00,mlb
Baltimore Orioles,9715953,2017-09-18 23:05:00+00:00,mlb
Baltimore Orioles,9715964,2017-05-22 23:05:00+00:00,mlb
Baltimore Orioles,9715975,2017-05-30 23:05:00+00:00,mlb
Baltimore Orioles,9715895,2017-08-19 23:05:00+00:00,mlb
Baltimore Orioles,9715914,2017-09-02 23:05:00+00:00,mlb
